"Date","Price","Open","High","Low","Vol.","Change %"
"06/21/2021","8,789.52","8,789.52","8,789.52","8,789.52","","1.40%"
"06/18/2021","8,667.76","8,667.76","8,667.76","8,667.76","","-1.31%"
"06/17/2021","8,782.58","8,782.58","8,782.58","8,782.58","","-0.04%"
"06/16/2021","8,786.18","8,786.18","8,786.18","8,786.18","","-0.54%"
"06/15/2021","8,833.68","8,833.68","8,833.68","8,833.68","","-0.20%"
"06/14/2021","8,851.17","8,851.17","8,851.17","8,851.17","","0.21%"
"06/11/2021","8,832.94","8,832.94","8,832.94","8,832.94","","0.20%"
"06/10/2021","8,815.56","8,815.56","8,815.56","8,815.56","","0.47%"
"06/09/2021","8,774.31","8,774.31","8,774.31","8,774.31","","-0.18%"
"06/08/2021","8,790.00","8,790.00","8,790.00","8,790.00","","0.02%"
"06/07/2021","8,788.28","8,788.28","8,788.28","8,788.28","","-0.08%"
"06/04/2021","8,795.08","8,795.08","8,795.08","8,795.08","","0.88%"
"06/03/2021","8,717.97","8,717.97","8,717.97","8,717.97","","-0.35%"
"06/02/2021","8,748.30","8,748.30","8,748.30","8,748.30","","0.16%"
"06/01/2021","8,734.74","8,734.74","8,734.74","8,734.74","","-0.05%"
"05/28/2021","8,738.77","8,738.77","8,738.77","8,738.77","","0.09%"
"05/27/2021","8,730.97","8,730.97","8,730.97","8,730.97","","0.13%"
"05/26/2021","8,720.04","8,720.04","8,720.04","8,720.04","","0.19%"
"05/25/2021","8,703.59","8,703.59","8,703.59","8,703.59","","-0.21%"
"05/24/2021","8,722.00","8,722.00","8,722.00","8,722.00","","1.00%"
"05/21/2021","8,635.55","8,635.55","8,635.55","8,635.55","","-0.07%"
"05/20/2021","8,641.98","8,641.98","8,641.98","8,641.98","","1.06%"
"05/19/2021","8,550.95","8,550.95","8,550.95","8,550.95","","-0.28%"
"05/18/2021","8,574.98","8,574.98","8,574.98","8,574.98","","-0.84%"
"05/17/2021","8,647.57","8,647.57","8,647.57","8,647.57","","-0.25%"
"05/14/2021","8,669.49","8,669.49","8,669.49","8,669.49","","1.50%"
"05/13/2021","8,541.39","8,541.39","8,541.39","8,541.39","","1.23%"
"05/12/2021","8,437.24","8,437.24","8,437.24","8,437.24","","-2.13%"
"05/11/2021","8,620.98","8,620.98","8,620.98","8,620.98","","-0.87%"
